gene_name,Inter_16,Inter_17,Inter_18,Mature_25,Mature_26,Early_01,Early_02,Early_03,Early_04,Early_0A
Cc035932,0,0,0,0,0,0,0,0,0,0
Cc035933,0,0,0,0,0,0,0,0,0,0
Cc035934,62,71,84,144,41,87,81,108,152,161
Cc035935,139,137,94,162,88,217,171,123,99,239
Cc035936,0,0,0,0,0,0,0,0,0,0
Cc035937,0,1,0,0,0,0,0,0,0,0
Cc035938,0,2,0,1,1,0,1,3,0,2
Cc035939,0,0,0,0,0,0,0,1,0,0
Cc035940,0,0,0,0,0,0,0,0,0,0
Cc035941,0,0,0,0,0,0,0,0,0,0
Cc035942,0,0,0,0,0,0,0,0,0,0
Cc035943,3,7,4,1,1,4,9,6,2,14
Cc035944,5,0,5,5,2,3,0,9,3,7
Cc035945,12,10,13,79,33,22,26,12,24,31
Cc035947,2,1,2,6,0,0,3,2,0,7
Cc035948,48,81,28,22,5,128,28,33,14,169
Cc035949,0,0,0,0,0,0,0,0,0,0
Cc035950,3,7,3,3,7,17,5,12,4,9
Cc035951,7,11,9,20,3,6,21,7,5,20
Cc035952,0,0,0,1,2,2,4,0,0,9
Cc035953,0,0,0,0,0,0,0,0,0,0
Cc035954,0,1,0,0,1,10,1,6,8,2
Cc035955,0,0,1,1,0,1,0,0,0,0
Cc035956,0,0,0,1,0,0,0,0,0,1
Cc035957,0,0,0,0,0,0,0,0,0,0
Cc035958,17,19,12,12,6,19,13,25,34,49
Cc035959,12,3,10,15,4,19,18,22,20,24
Cc035960,12,20,9,29,6,11,10,17,29,34
Cc035961,4,5,1,9,2,8,3,5,5,5
Cc035962,0,0,0,0,0,0,0,0,0,1
Cc035963,0,0,0,0,0,0,0,0,0,0
Cc035964,0,0,0,0,0,0,0,1,2,0
Cc035965,1,0,1,2,2,1,7,0,4,4
Cc035966,0,0,0,0,1,0,0,0,0,0
Cc035967,0,0,0,0,0,0,0,0,0,0
Cc035968,0,0,0,0,0,0,0,0,0,0
Cc035969,1,0,0,0,0,0,0,0,0,0
Cc035970,0,0,0,0,0,1,0,0,0,0
Cc035971,4,1,1,6,1,4,7,7,7,3
Cc035972,0,0,0,0,0,0,0,0,0,0
Cc035973,0,0,0,0,0,0,0,0,0,0
Cc035974,0,0,0,0,0,3,1,0,0,1
Cc035975,0,0,0,0,0,0,0,0,1,1
Cc035976,0,0,0,0,0,0,0,0,0,0
Cc035977,0,0,0,0,0,0,0,0,0,0
Cc035978,0,0,0,0,0,0,0,0,0,0
Cc035979,1,0,0,0,0,0,0,0,0,0
Cc035980,1,2,2,3,1,1,8,6,1,3
Cc035981,0,0,0,0,0,0,0,0,0,0
Cc035982,0,0,0,0,0,0,0,0,0,0
Cc035983,2,2,4,4,1,5,4,4,3,3
Cc035984,0,0,0,0,0,0,0,0,0,0
Cc035985,0,0,0,0,3,0,0,0,1,3
Cc035986,6,2,3,10,3,3,11,10,7,11
Cc035987,8,7,2,17,7,4,8,15,14,18
Cc035988,2,2,3,4,1,3,2,4,8,4
Cc035989,0,0,0,0,0,0,1,0,0,0
Cc035990,0,0,0,0,0,0,0,0,0,0
Cc035991,0,0,1,0,0,1,0,0,0,1
Cc035992,1,0,0,0,0,0,1,0,0,0
Cc035993,0,0,0,0,0,0,0,0,0,0
Cc035994,3,1,3,3,2,3,0,7,4,3
Cc035995,2,4,7,30,32,9,5,4,11,29
Cc035996,0,0,0,0,0,0,0,1,0,0
Cc035997,0,0,0,0,0,0,0,0,0,0
Cc035998,0,0,0,0,0,0,0,0,0,0
Cc035999,0,0,0,0,0,2,0,0,0,0
Cc036000,17,21,21,38,6,30,69,68,24,53
Cc036001,0,3,3,1,0,0,3,1,1,1
Cc036002,0,0,0,0,0,0,0,0,0,0
Cc036003,0,0,0,0,0,0,0,0,0,0
Cc036004,0,0,0,1,0,0,0,1,0,0
Cc036005,1,0,0,0,0,0,0,0,0,0
Cc036006,0,0,0,0,0,1,0,2,0,0
Cc036007,0,0,0,0,0,0,0,0,0,0
Cc036008,0,0,0,0,0,0,0,0,0,0
Cc036009,0,0,0,0,0,0,0,0,0,0
Cc036010,0,1,0,0,0,0,0,0,0,0
Cc036011,0,1,0,1,0,0,0,1,0,0
Cc036012,1,0,0,0,0,1,0,0,0,0
Cc036013,1,0,0,0,0,0,0,0,0,1
Cc036014,0,0,0,0,0,0,0,0,0,0
Cc036015,0,0,0,0,0,0,0,0,0,0
Cc036016,0,0,0,0,0,0,0,0,0,0
Cc036017,1,2,1,0,0,11,0,3,2,0
Cc036018,1,0,0,3,12,5,2,4,4,0
Cc036019,1,0,0,0,0,0,0,0,0,0
Cc036020,0,0,0,0,0,0,0,0,0,0
Cc036021,0,0,0,0,0,0,0,0,0,0
Cc036022,0,0,0,0,0,0,0,0,0,0
Cc036023,0,0,0,0,0,0,0,0,0,0
Cc036024,12,16,14,61,33,42,5,16,16,60
Cc036025,15,23,25,41,15,45,34,45,39,50
Cc036026,10,13,11,19,18,24,50,17,15,26
Cc036027,12,4,15,9,1,18,7,14,7,19
Cc036028,20,14,38,18,0,30,83,17,43,40
Cc036029,1,0,0,8,0,2,7,0,1,1
Cc036030,72,65,35,181,182,1,312,109,137,333
Cc036031,0,0,0,0,0,0,0,0,0,0
Cc036032,26,33,27,34,27,20,31,67,44,48
Cc036033,1,5,3,2,7,4,0,5,6,4
Cc036034,0,2,0,0,0,0,0,0,0,0
Cc036035,0,0,0,2,1,0,0,0,0,1
Cc036036,53,58,89,94,33,114,324,215,175,189
Cc036037,3,1,1,13,2,3,3,3,1,12
Cc036038,0,0,0,0,0,0,0,0,0,0
Cc036039,0,0,0,0,0,0,0,0,0,0
Cc036040,0,1,2,0,1,0,1,1,2,2
Cc036041,0,0,0,0,0,0,0,1,0,1
Cc036042,0,0,0,0,0,0,0,1,0,0
Cc036043,0,0,0,0,0,0,0,0,0,0
Cc036044,0,0,0,0,0,0,0,0,0,0
Cc036045,0,0,0,0,0,0,0,0,0,0
Cc036046,0,0,0,0,0,0,0,0,0,0
Cc036047,3,6,5,13,1,1,6,11,4,12
Cc036048,0,0,0,1,0,1,0,0,0,0
Cc036049,0,0,0,0,0,0,0,0,0,0
Cc036050,0,0,0,0,0,0,0,0,0,0
Cc036051,0,0,0,0,0,0,0,0,0,0
Cc036052,0,0,0,0,0,1,2,1,1,0
Cc036053,0,0,4,2,0,5,3,0,0,1
Cc036054,20,19,20,23,13,22,46,28,27,24
Cc036056,0,0,0,0,0,1,0,0,0,1
Cc036057,0,0,0,0,1,4,0,0,1,1
Cc036058,0,0,0,0,0,0,0,0,0,0
Cc036059,0,0,0,0,0,0,0,0,0,0
Cc036060,3,1,9,36,15,3,8,8,26,27
Cc036061,1,5,3,5,0,1,2,3,12,13
Cc036062,0,0,0,0,0,0,0,0,0,0
Cc036063,0,0,0,0,0,0,0,0,0,0
Cc036064,0,0,0,0,0,0,0,0,0,0
Cc036065,3,12,7,23,34,11,4,10,15,19
Cc036066,2,2,1,2,3,1,0,1,2,2
Cc036067,4,6,5,1,1,5,15,5,3,11
Cc036068,12,11,21,37,13,29,13,31,9,29
Cc036069,2,1,6,4,2,10,8,4,6,7
Cc036070,18,23,29,21,5,30,21,53,25,60
Cc036071,0,2,0,0,0,1,0,0,0,2
Cc036072,1,0,0,12,3,1,1,5,1,5
Cc036073,1,0,3,10,2,2,3,3,2,8
Cc036074,0,0,0,0,0,1,0,0,0,0
Cc036075,0,0,0,0,0,3,0,0,0,0
Cc036076,0,1,2,6,4,2,8,6,8,4
Cc036077,1,2,0,4,1,2,0,1,0,2
Cc036078,0,0,0,0,0,0,0,0,0,0
Cc036079,0,0,0,0,1,1,0,0,0,0
Cc036080,110,120,125,191,149,192,340,430,294,228
Cc036081,0,0,0,0,0,0,0,0,0,0
Cc036082,0,0,1,0,0,0,0,2,3,1
Cc036083,0,0,1,0,0,0,0,0,1,1
Cc036084,0,0,1,2,0,0,1,9,0,4
Cc036085,1,2,1,0,0,2,1,6,0,0
Cc036086,0,0,0,0,0,0,0,0,0,0
